position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	2.48e-05	1	1.21409e-07	1.07052e-05	0.999989
N/A	2.48e-05	1	1.05701e-07	0.000108037	0.999892
N/A	2.48e-05	1	1.1861e-07	5.65535e-07	0.999999
N/A	2.48e-05	1	1.01397e-07	9.31191e-07	0.999999
N/A	2.48e-05	1	1.06286e-07	1.97874e-06	0.999998
N/A	2.48e-05	1	1.20805e-07	1.08803e-07	1
N/A	2.48e-05	0.999999	8.61948e-07	0.00639841	0.993602
N/A	2.48e-05	1	1.28763e-07	0.00132892	0.998671
N/A	2.48e-05	1	1.90461e-07	2.18426e-05	0.999978
N/A	2.48e-05	1	3.53235e-07	1.9148e-05	0.999981
N/A	2.48e-05	1	1.09714e-07	0.00655699	0.993443
N/A	2.48e-05	1	3.35911e-07	3.62666e-06	0.999996
N/A	2.48e-05	1	1.96204e-07	1.37442e-07	1
N/A	2.48e-05	1	1.07139e-07	0.00298387	0.997016
N/A	2.48e-05	1	2.02344e-07	7.63735e-05	0.999924
N/A	2.48e-05	1	2.14231e-07	0.000363257	0.999637
N/A	2.48e-05	1	1.22742e-07	0.0010537	0.998946
N/A	2.48e-05	1	1.24414e-07	0.00931547	0.990685
N/A	2.48e-05	1	3.14745e-07	2.16434e-06	0.999998
N/A	2.48e-05	1	1.23728e-07	7.78996e-06	0.999992
N/A	2.48e-05	1	2.31957e-07	6.94079e-06	0.999993
N/A	2.48e-05	1	3.15837e-07	5.32938e-05	0.999947
N/A	2.48e-05	1	1.65159e-07	3.55108e-06	0.999996
N/A	2.48e-05	1	4.09582e-07	1.72817e-06	0.999998
N/A	2.48e-05	1	2.1244e-07	0.00992258	0.990077
N/A	2.48e-05	1	1.98826e-07	6.81719e-05	0.999932
N/A	2.48e-05	1	2.34677e-07	0.00193009	0.99807
N/A	2.48e-05	1	1.69631e-07	5.04623e-05	0.99995
N/A	2.48e-05	1	1.3171e-07	0.00152306	0.998477
N/A	2.48e-05	1	1.02134e-07	0.000442016	0.999558
N/A	2.48e-05	1	3.42976e-07	2.00804e-06	0.999998
N/A	2.48e-05	1	1.70123e-07	0.00429539	0.995705
N/A	2.48e-05	1	1.60372e-07	0.000394184	0.999606
N/A	2.48e-05	1	1.18643e-07	3.87519e-06	0.999996
N/A	2.48e-05	1	1.51245e-07	1.12775e-06	0.999999
N/A	2.48e-05	1	1.07448e-07	0.000240944	0.999759
N/A	2.48e-05	1	1.32757e-07	1.09765e-05	0.999989
N/A	2.48e-05	1	2.78683e-07	0.000167559	0.999832
N/A	2.48e-05	1	1.34671e-07	0.000926472	0.999074
N/A	2.48e-05	1	1.73533e-07	6.59967e-07	0.999999
